,From,To,Cost,Var
697,432,504,114.8571428571429,1720.881592464417
698,504,269,33.0,126.81326879591532
699,505,504,33.0,59.50396494811684
700,427,505,33.0,45.79166197100105
701,505,426,28.0,53.53303330181345
702,578,481,14.0,13.30364715912067
703,482,481,41.33333333333334,267.8718726824514
704,474,239,41.33333333333334,186.07148320307027
705,296,237,24.73943661971831,75.35608383573842
706,533,530,11.0,12.306571897948135
707,235,506,8.666666666666666,9.69036247626726
708,506,507,18.86666666666667,39.911419809129434
709,507,258,17.1875,18.73004020756242
710,508,556,47.24390243902439,122.7400929953186
711,509,508,47.24390243902439,106.59312195367814
712,370,510,58.35,366.598789475073
713,510,509,58.35,190.13479679177632
714,369,511,59.26086956521739,338.9489564001168
715,511,508,1.0,0.04579155180918792
716,402,511,44.3421052631579,224.80973036052583
717,511,510,44.3421052631579,108.28600215764193
718,513,512,44.3421052631579,80.75294488344719
719,514,268,44.3421052631579,88.90898672957655
720,512,514,44.3421052631579,155.81003125950727
721,414,515,41.39285714285715,163.33852061451526
722,515,416,26.25806451612903,93.72170310375193
723,515,513,22.0,32.42745587827693
724,413,516,24.0,35.66447144250628
725,517,516,2.5,0.38221682335628815
726,401,518,51.78048780487805,404.22052240205113
727,518,404,10.1,8.872261201620415
728,519,518,3.333333333333333,0.8191002125442594
