From,To,Length,Cost,Var
29,119,804.1917262,61.57723347,296.3287009
29,230,1712.154667,215.6390207,3653.298289
30,763,516.7491094,62.6789256,371.1210977
30,1060,531.5645307,20.39954765,8.444745698
30,457,598.1445228,83.55611113,559.2728097
30,564,1158.521852,46.47233802,62.54413303
31,655,471.5487556,35.30407527,64.05270736
31,484,419.311019,34.84919177,196.6153352
31,1127,439.4701222,59.20660046,196.8583871
32,64,248.4815623,56.90915246,135.4836044
32,337,198.6988912,58.04154607,181.969805
32,285,205.6812406,67.00928807,286.6868911
33,733,358.9538853,164.3144835,85.51410025
33,440,442.5338513,253.2593244,2217.72806
33,65,641.1616517,87.12079976,134.8340077
34,166,421.783258,27.65011615,62.75585335
34,152,1557.607396,132.7487435,943.7491755
34,82,2356.527401,62.52190172,526.6609596
34,194,3932.226913,61.67306443,2394.344842
35,751,633.6067313,507.9507316,23465.89402
35,51,824.5702416,245.6376946,9104.910342
36,68,221.4271661,254.8718811,2086.816994
36,52,618.1188471,309.141721,24869.90831
37,387,3962.074577,57.07332283,268.8123417
37,566,2352.605615,47.6846233,228.4135058
37,674,3705.554474,20.96903191,54.65664542
38,1212,2397.625728,41.55158005,19.8812735
38,908,3382.064279,31.11105129,112.2339641
38,803,3231.919547,81.04020248,1108.819558
39,595,347.1260675,77.15835071,773.9809259
39,315,476.5458367,246.1735823,2407.457609
39,825,290.8539716,38.80816141,24.67220713
40,412,870.2509514,79.34036661,234.8355953
40,390,289.0479444,66.48474064,235.5173443
40,156,525.6174909,78.95781559,129.7027426
41,87,1568.99986,38.25543376,89.66500928
41,143,468.6458284,27.58714204,157.3880357
41,833,534.061291,15.75050341,10.13679618
42,799,868.2777382,256.1965603,2130.181535
42,953,646.8891553,30.70181593,57.5824393
42,1112,713.2862675,26.99159789,41.84273063
43,1877,256.210622,28.40768407,130.1968655
43,643,211.7407755,33.01969529,27.53399651
43,1173,124.1066729,60.7968473,284.2090146
