From,To,Length,Cost,Var
115,695,1640.565362,56.01675648,246.0634288
200,116,1866.193322,60.58973705,1437.072042
117,1203,372.5739333,33.2631633,113.9313741
117,1612,67.67788705,20.3397654,11.21156027
118,1017,88.70577189,192.1270273,1235.284338
118,1107,534.7818544,18.79641511,9.563783092
118,473,107.0088861,27.22001118,29.10514908
118,294,473.6901755,192.2013672,2622.437044
119,189,2179.281715,31.49428473,48.14116635
119,372,775.7273466,40.55578887,319.2095423
119,175,3154.6432,241.6663753,14050.00823
763,120,565.2138329,58.55048557,167.7452136
120,564,540.5774824,55.83180945,1255.631465
120,906,397.2930404,52.74443394,634.0555521
120,588,382.8435085,38.03611718,85.53716224
121,740,426.6868549,61.73233303,502.8299865
121,1075,294.8788977,100.0178701,1521.032146
122,178,1033.325213,54.65906906,747.7232199
122,220,97.02682425,143.4891723,2829.519171
122,259,169.5263733,135.86701,920.2677741
123,151,377.2787873,132.0135672,2596.764982
124,166,379.1506685,138.215237,4010.138903
124,194,170.884252,118.9356988,1278.2523
124,338,175.0677146,244.1182104,3158.290185
125,638,541.0916099,44.07830493,168.8612542
125,1242,491.9788734,38.5056084,129.7632191
125,887,304.3038699,30.56207176,62.23839136
126,585,399.5874423,66.24012932,524.974085
126,1230,440.0064418,105.4418453,1403.013956
126,1386,514.6940253,34.21220821,68.3171307
126,377,223.2688421,40.44340471,69.45218155
127,400,245.4249467,67.4095045,626.3828628
127,853,146.9511223,76.54030391,549.6602372
127,1363,93.60051923,87.08072664,1067.918441
127,759,1343.962194,102.880178,1082.486075
128,1300,389.1891435,142.4464843,645.6066741
128,316,1360.418285,132.8378569,520.6408422
129,1029,205.9431244,35.01708731,222.6751241
129,253,598.1445228,42.77218777,419.2989706
129,587,1152.580029,25.38016304,39.27805079
130,745,245.8542348,34.44426365,264.905863
130,1261,276.4329203,46.12313909,239.5430226
130,444,444.6381518,29.73214263,152.1787559
131,1630,290.5469425,37.22096534,297.0716532
131,1813,472.1494252,54.90506577,227.9948834
1761,131,689.9948448,32.3774803,69.27622264
131,1282,860.6192695,58.77793148,1662.364818
132,563,530.9788349,43.81514718,40.07697181
132,590,1122.026642,177.0442891,9303.245887
132,536,1158.153395,60.33729789,501.3347081
133,334,1234.279989,59.3957481,106.1693882
133,704,881.2258787,62.3753986,149.8491065
133,659,1007.20024,52.44719438,171.6708852
134,1156,749.885223,43.00945776,214.2785395
134,519,702.2276992,74.81781976,440.5920491
134,1088,1592.572846,45.38332395,257.2065665
