From,To,Length,Cost,Var
134,1156,749.885223,73.72445057,1110.519101
134,519,702.2276992,80.43156638,864.5863438
134,1088,1592.572846,57.28462913,276.0904924
135,772,382.8435085,97.58941952,1013.797939
135,574,290.5871016,51.85540876,350.9261186
135,619,239.0985736,45.94821375,830.5791666
135,970,312.9263622,87.36802766,1095.080876
136,246,260.3460928,444.213662,12095.48774
136,590,359.9913936,113.1834256,375.3851329
137,260,502.0930578,331.4346209,3575.137783
137,286,271.3491026,199.9401849,2524.842941
137,193,352.9318802,299.0076571,17685.39677
138,193,421.0464061,346.460969,24032.74808
138,325,315.5116221,271.1457385,24655.44507
139,235,296.8924869,104.1734186,646.6786705
139,467,1538.935186,189.7335079,6935.494269
139,248,1877.861688,33.28740936,106.9319175
140,726,1561.121132,19.88071744,10.53439933
1601,140,1710.720489,47.85601242,236.9298776
140,1613,183.0300287,63.22974931,330.0903503
141,735,151.6410718,48.55848837,160.366603
141,1070,237.0402654,38.24167463,149.9046867
142,277,152.5390573,81.1272081,1290.067381
142,303,424.3351096,84.5230205,1287.980042
142,290,224.5953135,105.4233515,669.15518
143,973,328.3305018,58.5236255,224.8283038
143,605,192.0974179,78.60575898,687.8606467
143,791,254.1594452,45.1655558,161.4078864
144,1256,604.9681706,28.95851289,85.23159169
144,1106,321.2386193,68.06238639,577.4656267
144,1750,934.5742395,39.74216789,181.4232642
145,1785,416.8350472,69.45406849,505.5050779
145,1312,332.3477681,22.29338059,28.30980714
145,1684,512.3599603,37.51998179,46.42593568
146,350,509.2293938,20.10611732,23.05721397
146,320,354.8405378,33.86172334,20.74099497
146,662,397.789706,25.33572914,37.8038735
147,1252,542.0671848,73.46148855,888.8262111
147,347,335.5366158,93.53225556,859.5273724
148,296,807.9075937,37.13923055,92.77625205
600,148,424.2016114,45.94815158,170.6500708
148,385,987.1946311,57.14145715,508.4034257
149,885,2267.648197,33.2132739,239.2313634
